ship_to_key,ship_to_name,city,state,months_active,first_month,last_month,avg_breadth,peak_breadth,slope_skus_per_month,bucket
UPTOWN ESSENTIALS-PSP AP|Palm Springs|CA|92262|US,UPTOWN ESSENTIALS-PSP AP,Palm Springs,CA,2,2026-03,2026-04,6,7,0.391,Expanding
La Palmas Oasis -- PSP|Palm Springs|CA|92262|US,La Palmas Oasis -- PSP,Palm Springs,CA,4,2026-01,2026-04,4,6,0.364,Expanding
Eastbank Market @ PDX|Portland|OR|97220|US,Eastbank Market @ PDX,Portland,OR,3,2026-03,2026-05,3,4,0.345,Expanding
DISTRICT MARKET-SFO AP|San Francisco|CA|94128|US,DISTRICT MARKET-SFO AP,San Francisco,CA,10,2025-08,2026-05,3.7,6,0.336,Expanding
EASTERN MARKET-DCA|Dayton|NJ|08810|US,EASTERN MARKET-DCA,Dayton,NJ,2,2026-04,2026-05,3.5,4,0.282,Expanding
TRAVEL + RIGHT-SLC|SALT LAKE CITY|UT|84116|US,TRAVEL + RIGHT-SLC,SALT LAKE CITY,UT,5,2025-10,2026-04,3.4,5,0.264,Expanding
Duke City Station @ ABQ|ALBUQUERQUE|NM|87106|US,Duke City Station @ ABQ,ALBUQUERQUE,NM,1,2026-05,2026-05,5,5,0.227,Expanding
LICK-DFW AIRPORT|DALLAS|TX|75261|US,LICK-DFW AIRPORT,DALLAS,TX,6,2025-08,2026-05,3.67,5,0.209,Expanding
THE ARTS DISTRICT MARKET - SAN|SAN DIEGO|CA|92110|US,THE ARTS DISTRICT MARKET - SAN,SAN DIEGO,CA,7,2025-09,2026-05,3.86,5,0.191,Expanding
0543 BARBUR FOODS - PDX|PORTLAND|OR|97220|US,0543 BARBUR FOODS - PDX,PORTLAND,OR,1,2026-04,2026-04,5,5,0.182,Expanding
DC ARTS DISTRICT MARKET-DCA|Dayton|NJ|08810|US,DC ARTS DISTRICT MARKET-DCA,Dayton,NJ,1,2026-04,2026-04,5,5,0.182,Expanding
Penn's Landing @ PHL|Dayton|NJ|08810|US,Penn's Landing @ PHL,Dayton,NJ,1,2026-05,2026-05,4,4,0.182,Expanding
SLC Public Market-SPace #CAE 2-003|Salt Lake City|UT|84116|US,SLC Public Market-SPace #CAE 2-003,Salt Lake City,UT,1,2026-05,2026-05,4,4,0.182,Expanding
LARIMER STREET MARKET-DEN AP|Denver|CO|80203|US,LARIMER STREET MARKET-DEN AP,Denver,CO,2,2025-12,2026-03,4.5,6,0.164,Expanding
MADE IN KC- MCI AP|Kansas City|MO|64153|US,MADE IN KC- MCI AP,Kansas City,MO,5,2025-07,2026-04,3.4,5,0.164,Expanding
MRG KANSAS CITY LLC - SPACE # CC2-090|KANSAS CITY|MO|64153|US,MRG KANSAS CITY LLC - SPACE # CC2-090,KANSAS CITY,MO,2,2026-01,2026-03,3.5,5,0.155,Expanding
0003 WELCOME LAS VEGAS GRAND CANAL  SHOPS|LAS VEGAS|NV|89109|US,0003 WELCOME LAS VEGAS GRAND CANAL  SHOPS,LAS VEGAS,NV,1,2026-03,2026-03,5,5,0.136,Expanding
0016-WELCOME LAS VEGAS-VENETIAN|LAS VEGAS|NV|89109|US,0016-WELCOME LAS VEGAS-VENETIAN,LAS VEGAS,NV,1,2026-03,2026-03,5,5,0.136,Expanding
0131 IMPULSE-SAHARA|LAS VEGAS|NV|89109|US,0131 IMPULSE-SAHARA,LAS VEGAS,NV,1,2026-03,2026-03,5,5,0.136,Expanding
