so_id,so_num,date_issued,date_first_ship,status,ship_to_key,ship_to_name,ship_to_city,ship_to_state,ship_to_zip,ship_to_country,sku,customer_part,description,line_type,qty_ordered,qty_fulfilled,unit_price,total_price,total_cost,date_last_fulfillment
84843,1477522,2025-07-03 11:08:36.102000,2025-07-07 00:00:00,Fulfilled,0449 EASTERN MARKET-DCA|Dayton|NJ|08810|US,0449 EASTERN MARKET-DCA,Dayton,NJ,08810,US,1801004,,"CB-SPD-BAN Bar - Coconut & Banana Super Dark Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,44.845200000,2025-07-07 10:54:01.336000
84843,1477522,2025-07-03 11:08:36.102000,2025-07-07 00:00:00,Fulfilled,0449 EASTERN MARKET-DCA|Dayton|NJ|08810|US,0449 EASTERN MARKET-DCA,Dayton,NJ,08810,US,1801021,,"CB-EXO-BAC Bar- Bacon Exotic Chocolate Bar, 3 oz",Sale,12.000000000,12.000000000,5.040000000,60.480000000,20.708640000,2025-07-07 10:54:01.336000
84843,1477522,2025-07-03 11:08:36.102000,2025-07-07 00:00:00,Fulfilled,0449 EASTERN MARKET-DCA|Dayton|NJ|08810|US,0449 EASTERN MARKET-DCA,Dayton,NJ,08810,US,1801022,,"CB-EXO-BAR Bar- Barcelona Exotic Chocolate Bar, 3oz",Sale,12.000000000,12.000000000,5.040000000,60.480000000,18.646560000,2025-07-07 10:54:01.336000
84844,1477523,2025-07-03 11:14:11.276000,2025-07-07 00:00:00,Fulfilled,0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL|Dayton|NJ|08810|US,0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL,Dayton,NJ,08810,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,40.260960000,2025-07-07 10:54:01.632000
84844,1477523,2025-07-03 11:14:11.276000,2025-07-07 00:00:00,Fulfilled,0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL|Dayton|NJ|08810|US,0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL,Dayton,NJ,08810,US,1801004,,"CB-SPD-BAN Bar - Coconut & Banana Super Dark Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,22.422600000,2025-07-07 10:54:01.632000
84844,1477523,2025-07-03 11:14:11.276000,2025-07-07 00:00:00,Fulfilled,0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL|Dayton|NJ|08810|US,0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL,Dayton,NJ,08810,US,1801022,,"CB-EXO-BAR Bar- Barcelona Exotic Chocolate Bar, 3oz",Sale,12.000000000,12.000000000,5.040000000,60.480000000,18.646560000,2025-07-07 10:54:01.632000
84843,1477522,2025-07-03 11:08:36.102000,2025-07-07 00:00:00,Fulfilled,0449 EASTERN MARKET-DCA|Dayton|NJ|08810|US,0449 EASTERN MARKET-DCA,Dayton,NJ,08810,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 390735479792,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2025-07-07 10:54:01.336000
84844,1477523,2025-07-03 11:14:11.276000,2025-07-07 00:00:00,Fulfilled,0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL|Dayton|NJ|08810|US,0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL,Dayton,NJ,08810,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 390735567769,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2025-07-07 10:54:01.632000
85518,1477608,2025-07-10 14:33:52.431000,2025-07-28 00:00:00,Fulfilled,SHOREPOINTS MARKET-EWR AIRPORT (T1)|DAYTON|NJ|08810|US,SHOREPOINTS MARKET-EWR AIRPORT (T1),DAYTON,NJ,08810,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,26.928025104,2025-07-30 11:51:01.827000
85518,1477608,2025-07-10 14:33:52.431000,2025-07-28 00:00:00,Fulfilled,SHOREPOINTS MARKET-EWR AIRPORT (T1)|DAYTON|NJ|08810|US,SHOREPOINTS MARKET-EWR AIRPORT (T1),DAYTON,NJ,08810,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,44.242161312,2025-07-30 11:51:01.827000
85518,1477608,2025-07-10 14:33:52.431000,2025-07-28 00:00:00,Fulfilled,SHOREPOINTS MARKET-EWR AIRPORT (T1)|DAYTON|NJ|08810|US,SHOREPOINTS MARKET-EWR AIRPORT (T1),DAYTON,NJ,08810,US,1801004,,"CB-SPD-BAN Bar - Coconut & Banana Super Dark Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,44.845200000,2025-07-30 11:51:01.827000
85519,1477609,2025-07-10 14:35:50.930000,2025-07-28 00:00:00,Fulfilled,SIX POINTS MARKET-ORD AP|Chicago|IL|60666|US,SIX POINTS MARKET-ORD AP,Chicago,IL,60666,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,26.928025104,2025-07-30 11:54:01.686000
85519,1477609,2025-07-10 14:35:50.930000,2025-07-28 00:00:00,Fulfilled,SIX POINTS MARKET-ORD AP|Chicago|IL|60666|US,SIX POINTS MARKET-ORD AP,Chicago,IL,60666,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,22.121080656,2025-07-30 11:54:01.686000
85519,1477609,2025-07-10 14:35:50.930000,2025-07-28 00:00:00,Fulfilled,SIX POINTS MARKET-ORD AP|Chicago|IL|60666|US,SIX POINTS MARKET-ORD AP,Chicago,IL,60666,US,1801004,,"CB-SPD-BAN Bar - Coconut & Banana Super Dark Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,22.422600000,2025-07-30 11:54:01.686000
85519,1477609,2025-07-10 14:35:50.930000,2025-07-28 00:00:00,Fulfilled,SIX POINTS MARKET-ORD AP|Chicago|IL|60666|US,SIX POINTS MARKET-ORD AP,Chicago,IL,60666,US,1801021,,"CB-EXO-BAC Bar- Bacon Exotic Chocolate Bar, 3 oz",Sale,12.000000000,12.000000000,5.040000000,60.480000000,20.708640000,2025-07-30 11:54:01.686000
85520,1477610,2025-07-10 14:39:20.856000,2025-07-28 00:00:00,Fulfilled,DISTRICT MARKET-LGA AP|Dayton|NJ|08810|US,DISTRICT MARKET-LGA AP,Dayton,NJ,08810,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,53.856050208,2025-07-28 13:21:01.539000
85520,1477610,2025-07-10 14:39:20.856000,2025-07-28 00:00:00,Fulfilled,DISTRICT MARKET-LGA AP|Dayton|NJ|08810|US,DISTRICT MARKET-LGA AP,Dayton,NJ,08810,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,40.260960000,2025-07-28 13:21:01.539000
85521,1477611,2025-07-10 14:41:37.073000,2025-07-28 00:00:00,Fulfilled,SILICON VALLEY NEWS-SFO AP|San Francisco|CA|94128|US,SILICON VALLEY NEWS-SFO AP,San Francisco,CA,94128,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,26.928025104,2025-07-28 14:45:22.125000
85521,1477611,2025-07-10 14:41:37.073000,2025-07-28 00:00:00,Fulfilled,SILICON VALLEY NEWS-SFO AP|San Francisco|CA|94128|US,SILICON VALLEY NEWS-SFO AP,San Francisco,CA,94128,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,43.214120982,2025-07-28 14:45:22.125000
85521,1477611,2025-07-10 14:41:37.073000,2025-07-28 00:00:00,Fulfilled,SILICON VALLEY NEWS-SFO AP|San Francisco|CA|94128|US,SILICON VALLEY NEWS-SFO AP,San Francisco,CA,94128,US,1801022,,"CB-EXO-BAR Bar- Barcelona Exotic Chocolate Bar, 3oz",Sale,12.000000000,12.000000000,5.040000000,60.480000000,18.646560000,2025-07-28 14:45:22.125000
85522,1477612,2025-07-10 14:45:37.390000,2025-07-28 00:00:00,Fulfilled,0440 DC ARTS DISTRICT MARKET-DCA|Dayton|NJ|08810|US,0440 DC ARTS DISTRICT MARKET-DCA,Dayton,NJ,08810,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,53.856050208,2025-07-29 07:45:26.677000
85522,1477612,2025-07-10 14:45:37.390000,2025-07-28 00:00:00,Fulfilled,0440 DC ARTS DISTRICT MARKET-DCA|Dayton|NJ|08810|US,0440 DC ARTS DISTRICT MARKET-DCA,Dayton,NJ,08810,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,44.242161312,2025-07-29 07:45:26.677000
85522,1477612,2025-07-10 14:45:37.390000,2025-07-28 00:00:00,Fulfilled,0440 DC ARTS DISTRICT MARKET-DCA|Dayton|NJ|08810|US,0440 DC ARTS DISTRICT MARKET-DCA,Dayton,NJ,08810,US,1801004,,"CB-SPD-BAN Bar - Coconut & Banana Super Dark Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,22.422600000,2025-07-29 07:45:26.677000
85522,1477612,2025-07-10 14:45:37.390000,2025-07-28 00:00:00,Fulfilled,0440 DC ARTS DISTRICT MARKET-DCA|Dayton|NJ|08810|US,0440 DC ARTS DISTRICT MARKET-DCA,Dayton,NJ,08810,US,1801021,,"CB-EXO-BAC Bar- Bacon Exotic Chocolate Bar, 3 oz",Sale,12.000000000,12.000000000,5.040000000,60.480000000,20.708640000,2025-07-29 07:45:26.677000
85522,1477612,2025-07-10 14:45:37.390000,2025-07-28 00:00:00,Fulfilled,0440 DC ARTS DISTRICT MARKET-DCA|Dayton|NJ|08810|US,0440 DC ARTS DISTRICT MARKET-DCA,Dayton,NJ,08810,US,1801022,,"CB-EXO-BAR Bar- Barcelona Exotic Chocolate Bar, 3oz",Sale,12.000000000,12.000000000,5.040000000,60.480000000,18.646560000,2025-07-29 07:45:26.677000
85523,1477613,2025-07-10 14:47:50.058000,2025-07-28 00:00:00,Fulfilled,MADE IN KC- MCI AP|Kansas City|MO|64153|US,MADE IN KC- MCI AP,Kansas City,MO,64153,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,53.856050208,2025-07-30 12:06:01.772000
85523,1477613,2025-07-10 14:47:50.058000,2025-07-28 00:00:00,Fulfilled,MADE IN KC- MCI AP|Kansas City|MO|64153|US,MADE IN KC- MCI AP,Kansas City,MO,64153,US,1801004,,"CB-SPD-BAN Bar - Coconut & Banana Super Dark Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,22.422600000,2025-07-30 12:06:01.772000
85523,1477613,2025-07-10 14:47:50.058000,2025-07-28 00:00:00,Fulfilled,MADE IN KC- MCI AP|Kansas City|MO|64153|US,MADE IN KC- MCI AP,Kansas City,MO,64153,US,1801021,,"CB-EXO-BAC Bar- Bacon Exotic Chocolate Bar, 3 oz",Sale,12.000000000,12.000000000,5.040000000,60.480000000,20.708640000,2025-07-30 12:06:01.772000
85524,1477614,2025-07-10 14:48:54.739000,2025-07-28 00:00:00,Fulfilled,CITY ARTS MARKET-MCO AP|Orlando|FL|32827|US,CITY ARTS MARKET-MCO AP,Orlando,FL,32827,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,53.990629008,2025-07-31 14:00:31.999000
85524,1477614,2025-07-10 14:48:54.739000,2025-07-28 00:00:00,Fulfilled,CITY ARTS MARKET-MCO AP|Orlando|FL|32827|US,CITY ARTS MARKET-MCO AP,Orlando,FL,32827,US,1801004,,"CB-SPD-BAN Bar - Coconut & Banana Super Dark Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,24.342795480,2025-07-31 14:00:31.999000
85524,1477614,2025-07-10 14:48:54.739000,2025-07-28 00:00:00,Fulfilled,CITY ARTS MARKET-MCO AP|Orlando|FL|32827|US,CITY ARTS MARKET-MCO AP,Orlando,FL,32827,US,1801021,,"CB-EXO-BAC Bar- Bacon Exotic Chocolate Bar, 3 oz",Sale,12.000000000,12.000000000,5.040000000,60.480000000,20.708640000,2025-07-31 14:00:31.999000
86154,1477668,2025-07-17 13:46:43.480000,2025-08-04 00:00:00,Fulfilled,NATALIES CANDY AT SEA-TAC  AP|Seattle|WA|98158|US,NATALIES CANDY AT SEA-TAC  AP,Seattle,WA,98158,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,53.990629008,2025-08-04 15:51:01.771000
86154,1477668,2025-07-17 13:46:43.480000,2025-08-04 00:00:00,Fulfilled,NATALIES CANDY AT SEA-TAC  AP|Seattle|WA|98158|US,NATALIES CANDY AT SEA-TAC  AP,Seattle,WA,98158,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,44.242161312,2025-08-04 15:51:01.771000
86155,1477669,2025-07-17 13:48:51.787000,2025-08-04 00:00:00,Fulfilled,THE WELL - SMF AP|Sacramento|CA|95837|US,THE WELL - SMF AP,Sacramento,CA,95837,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,53.990629008,2025-08-05 07:27:01.568000
86155,1477669,2025-07-17 13:48:51.787000,2025-08-04 00:00:00,Fulfilled,THE WELL - SMF AP|Sacramento|CA|95837|US,THE WELL - SMF AP,Sacramento,CA,95837,US,1801004,,"CB-SPD-BAN Bar - Coconut & Banana Super Dark Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,48.685590960,2025-08-05 07:27:01.568000
87028,1477740,2025-07-25 13:41:53.566000,2025-08-04 00:00:00,Fulfilled,LA CONFIDENTIAL- LAX AP|El Segundo|CA|90245|US,LA CONFIDENTIAL- LAX AP,El Segundo,CA,90245,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,26.995314504,2025-08-04 15:45:25.117000
87028,1477740,2025-07-25 13:41:53.566000,2025-08-04 00:00:00,Fulfilled,LA CONFIDENTIAL- LAX AP|El Segundo|CA|90245|US,LA CONFIDENTIAL- LAX AP,El Segundo,CA,90245,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,44.242161312,2025-08-04 15:45:25.117000
87028,1477740,2025-07-25 13:41:53.566000,2025-08-04 00:00:00,Fulfilled,LA CONFIDENTIAL- LAX AP|El Segundo|CA|90245|US,LA CONFIDENTIAL- LAX AP,El Segundo,CA,90245,US,1801004,,"CB-SPD-BAN Bar - Coconut & Banana Super Dark Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,48.685590960,2025-08-04 15:45:25.117000
87029,1477741,2025-07-28 10:22:06.029000,2025-08-04 00:00:00,Fulfilled,0522 SLC Public Market-SPace #CAE 2-003|Salt Lake City|UT|84116|US,0522 SLC Public Market-SPace #CAE 2-003,Salt Lake City,UT,84116,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,53.990629008,2025-08-05 07:27:01.318000
87029,1477741,2025-07-28 10:22:06.029000,2025-08-04 00:00:00,Fulfilled,0522 SLC Public Market-SPace #CAE 2-003|Salt Lake City|UT|84116|US,0522 SLC Public Market-SPace #CAE 2-003,Salt Lake City,UT,84116,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,45.081996366,2025-08-05 07:27:01.318000
85520,1477610,2025-07-10 14:39:20.856000,2025-07-28 00:00:00,Fulfilled,DISTRICT MARKET-LGA AP|Dayton|NJ|08810|US,DISTRICT MARKET-LGA AP,Dayton,NJ,08810,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 391499991156,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2025-07-28 13:21:01.539000
85521,1477611,2025-07-10 14:41:37.073000,2025-07-28 00:00:00,Fulfilled,SILICON VALLEY NEWS-SFO AP|San Francisco|CA|94128|US,SILICON VALLEY NEWS-SFO AP,San Francisco,CA,94128,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 391505900687,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2025-07-28 14:45:22.125000
