so_id,so_num,customer_id,status,date_issued,date_first_ship,date_completed,ship_to_name,ship_to_address,ship_to_city,ship_to_state,ship_to_zip,ship_to_country,ship_to_key,customer_po,salesman,total_price,sub_total
84843,1477522,74,Fulfilled,2025-07-03 11:08:36.102000,2025-07-07 00:00:00,2025-07-07 10:54:01.336000,0449 EASTERN MARKET-DCA,"0449 EASTERN MARKET-DCA
C/O WHSMITH-GXO
2353 US HIGHWAY 130 STE",Dayton,NJ,08810,US,0449 EASTERN MARKET-DCA|Dayton|NJ|08810|US,647409,cfortin,241.920000000,241.920000000
84844,1477523,74,Fulfilled,2025-07-03 11:14:11.276000,2025-07-07 00:00:00,2025-07-07 10:54:01.632000,0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL,"0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL
C/O WHSMITH - GXO DC
2353 US HIGHWAY 130 STE A",Dayton,NJ,08810,US,0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL|Dayton|NJ|08810|US,647391,cfortin,241.920000000,241.920000000
85518,1477608,74,Fulfilled,2025-07-10 14:33:52.431000,2025-07-28 00:00:00,2025-07-30 11:51:01.827000,SHOREPOINTS MARKET-EWR AIRPORT (T1),"SHOREPOINTS MARKET-EWR AIRPORT (T1)
2353 US HIGHWAY 130 STE A
C/O WHSMITH - GXO DC",DAYTON,NJ,08810,US,SHOREPOINTS MARKET-EWR AIRPORT (T1)|DAYTON|NJ|08810|US,649545,cfortin,302.400000000,302.400000000
85519,1477609,74,Fulfilled,2025-07-10 14:35:50.930000,2025-07-28 00:00:00,2025-07-30 11:54:01.686000,SIX POINTS MARKET-ORD AP,"SIX POINTS MARKET-ORD AP
10000 W BALMORAL AVE
T5 NEXT TO GATE M29",Chicago,IL,60666,US,SIX POINTS MARKET-ORD AP|Chicago|IL|60666|US,649530,cfortin,241.920000000,241.920000000
85520,1477610,74,Fulfilled,2025-07-10 14:39:20.856000,2025-07-28 00:00:00,2025-07-28 13:21:01.539000,DISTRICT MARKET-LGA AP,"DISTRICT MARKET-LGA AP
2353 US HIGHWAY 130
STE A
C/O WHSMITH - GXO DC",Dayton,NJ,08810,US,DISTRICT MARKET-LGA AP|Dayton|NJ|08810|US,649538,cfortin,241.920000000,241.920000000
85521,1477611,74,Fulfilled,2025-07-10 14:41:37.073000,2025-07-28 00:00:00,2025-07-28 14:45:22.125000,SILICON VALLEY NEWS-SFO AP,"SILICON VALLEY NEWS-SFO AP
100 INTERNATIONAL LOOP
TERM 3, F GATE",San Francisco,CA,94128,US,SILICON VALLEY NEWS-SFO AP|San Francisco|CA|94128|US,649543,cfortin,241.920000000,241.920000000
85522,1477612,74,Fulfilled,2025-07-10 14:45:37.390000,2025-07-28 00:00:00,2025-07-29 07:45:26.677000,0440 DC ARTS DISTRICT MARKET-DCA,"C/O WHSMITH- GXO
2353 US HIGHWAY 130 STE",Dayton,NJ,08810,US,0440 DC ARTS DISTRICT MARKET-DCA|Dayton|NJ|08810|US,649546,cfortin,423.360000000,423.360000000
85523,1477613,74,Fulfilled,2025-07-10 14:47:50.058000,2025-07-28 00:00:00,2025-07-30 12:06:01.772000,MADE IN KC- MCI AP,"MADE IN KC- MCI AP
400 ATHENS AVE
NODE A, SPACE # CC2-030
C/O BRADFORD LOGISTICS",Kansas City,MO,64153,US,MADE IN KC- MCI AP|Kansas City|MO|64153|US,649531,cfortin,241.920000000,241.920000000
85524,1477614,74,Fulfilled,2025-07-10 14:48:54.739000,2025-07-28 00:00:00,2025-07-31 14:00:31.999000,CITY ARTS MARKET-MCO AP,"CITY ARTS MARKET-MCO AP
6190 CARGO ROAD
c/o CRDC Facility.
Bradford Logistics",Orlando,FL,32827,US,CITY ARTS MARKET-MCO AP|Orlando|FL|32827|US,649540,cfortin,241.920000000,241.920000000
86154,1477668,74,Fulfilled,2025-07-17 13:46:43.480000,2025-08-04 00:00:00,2025-08-04 15:51:01.771000,NATALIES CANDY AT SEA-TAC  AP,"NATALIES CANDY AT SEA-TAC AP
17801 PACIFIC HIGHWAY SO
NORTH SATELLITE
SPACE NS-12",Seattle,WA,98158,US,NATALIES CANDY AT SEA-TAC  AP|Seattle|WA|98158|US,652440,cfortin,241.920000000,241.920000000
86155,1477669,74,Fulfilled,2025-07-17 13:48:51.787000,2025-08-04 00:00:00,2025-08-05 07:27:01.568000,THE WELL - SMF AP,"THE WELL - SMF AP
6900 AIRPORT BLVD
TERM A",Sacramento,CA,95837,US,THE WELL - SMF AP|Sacramento|CA|95837|US,652436,cfortin,241.920000000,241.920000000
87028,1477740,74,Fulfilled,2025-07-25 13:41:53.566000,2025-08-04 00:00:00,2025-08-04 15:45:25.117000,LA CONFIDENTIAL- LAX AP,"C/O CREWS 1972
1924 E MAPLE AVE
UNIT B",El Segundo,CA,90245,US,LA CONFIDENTIAL- LAX AP|El Segundo|CA|90245|US,654731,cfortin,302.400000000,302.400000000
87029,1477741,74,Fulfilled,2025-07-28 10:22:06.029000,2025-08-04 00:00:00,2025-08-05 07:27:01.318000,0522 SLC Public Market-SPace #CAE 2-003,"C/O CDR CTR Bradford Logistics
3619 W 510 North",Salt Lake City,UT,84116,US,0522 SLC Public Market-SPace #CAE 2-003|Salt Lake City|UT|84116|US,654717,cfortin,241.920000000,241.920000000
87588,1477775,74,Fulfilled,2025-07-31 12:21:05.856000,2025-08-04 00:00:00,2025-08-04 15:48:02.115000,CAPITOL FILE-DCA AP (T-CNC-7),"C/O WHSMITH-GXO
2353 US HIGHWAY 
130 STE",Dayton,NJ,08810,US,CAPITOL FILE-DCA AP (T-CNC-7)|Dayton|NJ|08810|US,657264,cfortin,241.920000000,241.920000000
87589,1477776,74,Fulfilled,2025-07-31 12:22:50.240000,2025-08-04 00:00:00,2025-08-04 15:48:02.411000,0449 EASTERN MARKET-DCA,"0449 EASTERN MARKET-DCA
C/O WHSMITH-GXO
2353 US HIGHWAY 130 STE",Dayton,NJ,08810,US,0449 EASTERN MARKET-DCA|Dayton|NJ|08810|US,657277,cfortin,241.920000000,241.920000000
87590,1477777,74,Fulfilled,2025-07-31 12:28:24.799000,2025-08-04 00:00:00,2025-08-04 15:48:01.568000,WH SMITH-DCA AP (T-CNC3),"C/O WHSMITH-GXO
2353 US HIGHWAY 
130 STE",Dayton,NJ,08810,US,WH SMITH-DCA AP (T-CNC3)|Dayton|NJ|08810|US,657263,cfortin,302.400000000,302.400000000
89242,1477923,74,Fulfilled,2025-08-15 11:59:56.365000,2025-08-18 00:00:00,2025-08-18 11:45:29.095000,0440 DC ARTS DISTRICT MARKET-DCA,"C/O WHSMITH- GXO
2353 US HIGHWAY 130 STE",Dayton,NJ,08810,US,0440 DC ARTS DISTRICT MARKET-DCA|Dayton|NJ|08810|US,662237,hmorales,241.920000000,241.920000000
89243,1477924,74,Fulfilled,2025-08-15 12:02:13.067000,2025-08-18 00:00:00,2025-08-18 11:42:01.611000,THE BOWERY BAY SHOPS-LGA AP,"THE BOWERY BAY SHOPS-LGA AP
2353 US HIGHWAY 130
STE A
C/O WHSMITH - GXO DC",Dayton,NJ,08810,US,THE BOWERY BAY SHOPS-LGA AP|Dayton|NJ|08810|US,662239,hmorales,241.920000000,241.920000000
89244,1477925,74,Fulfilled,2025-08-15 12:05:13.957000,2025-08-18 00:00:00,2025-08-18 11:54:01.044000,NATALIES CANDY AT SEA-TAC  AP,"NATALIES CANDY AT SEA-TAC AP
17801 PACIFIC HIGHWAY SO
NORTH SATELLITE
SPACE NS-12",Seattle,WA,98158,US,NATALIES CANDY AT SEA-TAC  AP|Seattle|WA|98158|US,662241,hmorales,241.920000000,241.920000000
89245,1477926,74,Fulfilled,2025-08-15 12:07:46.239000,2025-08-18 00:00:00,2025-08-18 12:48:00.945000,SIX POINTS MARKET-ORD AP,"SIX POINTS MARKET-ORD AP
10000 W BALMORAL AVE
T5 NEXT TO GATE M29",Chicago,IL,60666,US,SIX POINTS MARKET-ORD AP|Chicago|IL|60666|US,662226,hmorales,241.920000000,241.920000000
89246,1477927,74,Fulfilled,2025-08-15 12:11:45.766000,2025-08-18 00:00:00,2025-08-19 11:51:01.609000,FLIGHT STOP-DEN AIRPORT (GATE 33 &  55),"WHSMITH C/O HYPERION
414 N BROADWAY UNIT C",Denver,CO,80203,US,FLIGHT STOP-DEN AIRPORT (GATE 33 &  55)|Denver|CO|80203|US,662232,hmorales,362.880000000,362.880000000
89699,1477990,74,Fulfilled,2025-08-20 15:32:06.527000,2025-08-25 00:00:00,2025-08-25 10:42:01.610000,0430 Motown Greatest Hits #430 Suite 3-2,"0430 Motown Greatest Hits
C/O Bradford Logistics
2588 World Gateway Place Suite T1-160",Detroit,MI,48242,US,0430 Motown Greatest Hits #430 Suite 3-2|Detroit|MI|48242|US,647407,cfortin,241.920000000,241.920000000
89700,1477991,74,Fulfilled,2025-08-20 15:35:55.965000,2025-08-25 00:00:00,2025-08-25 10:42:01.003000,THE ARTS DISTRICT MKT-BNA AP,"THE ARTS DISTRICT MKT-BNA AP
931 AIRPORT SERVICE RD
TERM A
C/O BRADFORD LOGISTICS",Nashville,TN,37214,US,THE ARTS DISTRICT MKT-BNA AP|Nashville|TN|37214|US,647403,cfortin,302.400000000,302.400000000
89701,1477992,74,Fulfilled,2025-08-20 15:37:26.670000,2025-08-25 00:00:00,2025-08-25 10:39:01.686000,FLIGHT STOP-DEN AIRPORT (GATE 33 &  55),"WHSMITH C/O HYPERION
414 N BROADWAY UNIT C",Denver,CO,80203,US,FLIGHT STOP-DEN AIRPORT (GATE 33 &  55)|Denver|CO|80203|US,647399,cfortin,241.920000000,241.920000000
89702,1477993,74,Fulfilled,2025-08-20 15:39:05.652000,2025-08-25 00:00:00,2025-08-25 10:39:01.341000,DISTRICT MARKET-BWI AIRPORT,"2353 US HIGHWAY 130 STE
C/O WHSMITH-GXO",DAYTON,NJ,08810,US,DISTRICT MARKET-BWI AIRPORT|DAYTON|NJ|08810|US,647402,cfortin,241.920000000,241.920000000
89803,1478002,74,Fulfilled,2025-08-21 12:26:07.038000,2025-08-26 00:00:00,2025-08-26 11:21:01.590000,DISTRICT MARKET-SFO AP,"DISTRICT MARKET-SFO AP
3 N TERMINAL
Hub #F.2.030",San Francisco,CA,94128,US,DISTRICT MARKET-SFO AP|San Francisco|CA|94128|US,664652,cfortin,241.920000000,241.920000000
89804,1478003,74,Fulfilled,2025-08-21 12:32:00.036000,2025-09-02 00:00:00,2025-09-02 09:33:00.785000,0430 Motown Greatest Hits #430 Suite 3-2,"0430 Motown Greatest Hits
C/O Bradford Logistics
2588 World Gateway Place Suite T1-160",Detroit,MI,48242,US,0430 Motown Greatest Hits #430 Suite 3-2|Detroit|MI|48242|US,664660,cfortin,241.920000000,241.920000000
89805,1478004,74,Fulfilled,2025-08-21 12:35:42.615000,2025-08-26 00:00:00,2025-08-26 11:24:01.340000,GOTHAM NEWS-MOYNIHAN TRAIN HALL,"GOTHAM NEWS
2353 US HIGHWAY 130
STE A
MOYNIHAN TRAIN HALL",Dayton,NJ,08810,US,GOTHAM NEWS-MOYNIHAN TRAIN HALL|Dayton|NJ|08810|US,664645,cfortin,241.920000000,241.920000000
89806,1478005,74,Fulfilled,2025-08-21 12:40:33.266000,2025-08-26 00:00:00,2025-08-26 11:09:01.164000,UPTOWN KIOSK 2-PHX AP,"UPTOWN KIOSK 2-PHX AP
3400 E SKY HARBOR BLVD
SPACE # T4S1
Term 4, Lvl 3, Near Gate D11",Phoenix,AZ,85034,US,UPTOWN KIOSK 2-PHX AP|Phoenix|AZ|85034|US,664648,cfortin,241.920000000,241.920000000
89807,1478006,74,Fulfilled,2025-08-21 12:42:52.484000,2025-08-26 00:00:00,2025-08-26 11:24:00.961000,LICK-DFW AIRPORT,"LICK-DFW AIRPORT
2610 N INTL PKWY
TERMINAL E GATE E34 SPACE 109 C",DALLAS,TX,75261,US,LICK-DFW AIRPORT|DALLAS|TX|75261|US,664651,cfortin,241.920000000,241.920000000
90527,1478133,74,Fulfilled,2025-08-28 14:28:03.258000,2025-09-02 00:00:00,2025-09-02 11:51:02.397000,SHOREPOINTS MARKET-EWR AIRPORT (T1),"SHOREPOINTS MARKET-EWR AIRPORT (T1)
2353 US HIGHWAY 130 STE A
C/O WHSMITH - GXO DC",DAYTON,NJ,08810,US,SHOREPOINTS MARKET-EWR AIRPORT (T1)|DAYTON|NJ|08810|US,667232,hmorales,483.840000000,483.840000000
90529,1478134,74,Fulfilled,2025-08-28 14:31:38.507000,2025-09-02 00:00:00,2025-09-02 13:54:02.953000,THE WELL - SMF AP,"THE WELL - SMF AP
6900 AIRPORT BLVD
TERM A",Sacramento,CA,95837,US,THE WELL - SMF AP|Sacramento|CA|95837|US,667227,hmorales,241.920000000,241.920000000
90530,1478135,74,Fulfilled,2025-08-28 14:34:05.415000,2025-09-02 00:00:00,2025-09-02 13:57:01.980000,SILICON VALLEY NEWS-SFO AP,"SILICON VALLEY NEWS-SFO AP
100 INTERNATIONAL LOOP
TERM 3, F GATE",San Francisco,CA,94128,US,SILICON VALLEY NEWS-SFO AP|San Francisco|CA|94128|US,667230,hmorales,241.920000000,241.920000000
91000,1478171,74,Fulfilled,2025-09-02 10:35:40.392000,2025-09-03 00:00:00,2025-09-03 14:42:01.096000,THE ARTS DISTRICT MARKET - SAN,"C/O BRADFORD AIRPORT LOGISTICS
2247 WEST WASHINGTON STREET",SAN DIEGO,CA,92110,US,THE ARTS DISTRICT MARKET - SAN|SAN DIEGO|CA|92110|US,667804,cfortin,907.200000000,907.200000000
91001,1478172,74,Fulfilled,2025-09-04 11:23:33.466000,2025-09-03 00:00:00,2025-09-04 13:45:26.479000,16TH & DOLORES-SFO AP (T2),"SFO AIRPORT-TERMINAL 2
SPACE D.2.325",San Francisco,CA,94128,US,16TH & DOLORES-SFO AP (T2)|San Francisco|CA|94128|US,667720,cfortin,604.800000000,604.800000000
94397,1478394,74,Fulfilled,2025-09-23 13:54:03.987000,2025-09-24 00:00:00,2025-09-24 10:09:01.127000,0430 Motown Greatest Hits #430 Suite 3-2,"0430 Motown Greatest Hits
C/O Bradford Logistics
2588 World Gateway Place Suite T1-160",Detroit,MI,48242,US,0430 Motown Greatest Hits #430 Suite 3-2|Detroit|MI|48242|US,673993,hmorales,241.920000000,241.920000000
94399,1478395,74,Fulfilled,2025-09-23 14:05:21.731000,2025-09-24 00:00:00,2025-09-24 11:33:01.350000,WHSMITH C/O HYPERION,"WHSMITH C/O HYPERION
414 N BROADWAY UNIT C",DENVER,CO,80203,US,WHSMITH C/O HYPERION|DENVER|CO|80203|US,673985,hmorales,241.920000000,241.920000000
94400,1478396,74,Fulfilled,2025-09-23 14:07:57.428000,2025-09-24 00:00:00,2025-09-24 11:33:01.022000,0449 EASTERN MARKET-DCA,"0449 EASTERN MARKET-DCA
C/O WHSMITH-GXO
2353 US HIGHWAY 130 STE",Dayton,NJ,08810,US,0449 EASTERN MARKET-DCA|Dayton|NJ|08810|US,673994,hmorales,241.920000000,241.920000000
94401,1478397,74,Fulfilled,2025-09-23 14:10:24.394000,2025-09-24 00:00:00,2025-09-24 12:45:24.225000,NATALIES CANDY AT SEA-TAC  AP,"NATALIES CANDY AT SEA-TAC AP
17801 PACIFIC HIGHWAY SO
NORTH SATELLITE
SPACE NS-12",Seattle,WA,98158,US,NATALIES CANDY AT SEA-TAC  AP|Seattle|WA|98158|US,673991,hmorales,423.360000000,423.360000000
94402,1478398,74,Fulfilled,2025-09-23 14:13:12.619000,2025-09-24 00:00:00,2025-09-25 12:45:22.173000,UPTOWN KIOSK 2-PHX AP,"UPTOWN KIOSK 2-PHX AP
3400 E SKY HARBOR BLVD
SPACE # T4S1
Term 4, Lvl 3, Near Gate D11",Phoenix,AZ,85034,US,UPTOWN KIOSK 2-PHX AP|Phoenix|AZ|85034|US,673978,hmorales,302.400000000,302.400000000
94639,1478433,74,Fulfilled,2025-09-25 14:54:07.312000,2025-09-29 00:00:00,2025-09-29 11:21:01.625000,FLIGHT STOP-DEN AIRPORT (GATE 33 &  55),"WHSMITH C/O HYPERION
414 N BROADWAY UNIT C",Denver,CO,80203,US,FLIGHT STOP-DEN AIRPORT (GATE 33 &  55)|Denver|CO|80203|US,676398,hmorales,241.920000000,241.920000000
94640,1478434,74,Fulfilled,2025-09-25 14:58:49.406000,2025-09-29 00:00:00,2025-09-29 11:21:01.363000,DISTRICT MARKET-SFO AP,"DISTRICT MARKET-SFO AP
3 N TERMINAL
Hub #F.2.030",San Francisco,CA,94128,US,DISTRICT MARKET-SFO AP|San Francisco|CA|94128|US,676399,hmorales,241.920000000,241.920000000
95460,1478478,74,Fulfilled,2025-10-02 14:44:58.245000,2025-10-06 00:00:00,2025-10-06 15:09:01.401000,CITY ARTS MARKET-MCO AP,"CITY ARTS MARKET-MCO AP
6190 CARGO ROAD
c/o CRDC Facility.
Bradford Logistics",Orlando,FL,32827,US,CITY ARTS MARKET-MCO AP|Orlando|FL|32827|US,678777,hmorales,241.920000000,241.920000000
95461,1478479,74,Fulfilled,2025-10-02 14:47:10.543000,2025-10-06 00:00:00,2025-10-06 15:09:01.705000,MADE IN KC- MCI AP,"MADE IN KC- MCI AP
400 ATHENS AVE
NODE A, SPACE # CC2-030
C/O BRADFORD LOGISTICS",Kansas City,MO,64153,US,MADE IN KC- MCI AP|Kansas City|MO|64153|US,678767,hmorales,241.920000000,241.920000000
95462,1478480,74,Fulfilled,2025-10-02 14:49:49.637000,2025-10-06 00:00:00,2025-10-06 15:09:02.186000,THE WELL - SMF AP,"THE WELL - SMF AP
6900 AIRPORT BLVD
TERM A",Sacramento,CA,95837,US,THE WELL - SMF AP|Sacramento|CA|95837|US,678775,hmorales,241.920000000,241.920000000
95463,1478481,74,Fulfilled,2025-10-02 14:52:58.591000,2025-10-06 00:00:00,2025-10-06 15:09:01.862000,DISTRICT MARKET-BWI AIRPORT,"2353 US HIGHWAY 130 STE
C/O WHSMITH-GXO",DAYTON,NJ,08810,US,DISTRICT MARKET-BWI AIRPORT|DAYTON|NJ|08810|US,678778,hmorales,423.360000000,423.360000000
95464,1478482,74,Fulfilled,2025-10-02 14:58:05.572000,2025-10-06 00:00:00,2025-10-06 15:09:02.453000,WH SMITH-DCA AP (T-CNC3),"C/O WHSMITH-GXO
2353 US HIGHWAY 130 ST",Dayton,NJ,08810,US,WH SMITH-DCA AP (T-CNC3)|Dayton|NJ|08810|US,678769,hmorales,241.920000000,241.920000000
95465,1478483,74,Fulfilled,2025-10-02 15:01:34.526000,2025-10-06 00:00:00,2025-10-06 15:09:02.609000,16TH & DOLORES-SFO AP (T2),"SFO AIRPORT-TERMINAL 2
SPACE D.2.325",SAN FRANCISCO,CA,94128,US,16TH & DOLORES-SFO AP (T2)|SAN FRANCISCO|CA|94128|US,678785,hmorales,302.400000000,302.400000000
95466,1478484,74,Fulfilled,2025-10-02 15:03:34.561000,2025-10-06 00:00:00,2025-10-06 15:06:01.186000,LICK-DFW AIRPORT,"LICK-DFW AIRPORT
2610 N INTL PKWY
TERMINAL E GATE E34 SPACE 109 C",DALLAS,TX,75261,US,LICK-DFW AIRPORT|DALLAS|TX|75261|US,678772,hmorales,241.920000000,241.920000000
96561,1478577,74,Fulfilled,2025-10-09 14:20:01.124000,2025-10-13 00:00:00,2025-10-13 12:39:01.219000,NATALIES CANDY AT SEA-TAC  AP,"NATALIES CANDY AT SEA-TAC AP
17801 PACIFIC HIGHWAY SO
NORTH SATELLITE
SPACE NS-12",Seattle,WA,98158,US,NATALIES CANDY AT SEA-TAC  AP|Seattle|WA|98158|US,681122,hmorales,241.920000000,241.920000000
96562,1478578,74,Fulfilled,2025-10-09 14:21:47.420000,2025-10-13 00:00:00,2025-10-13 12:39:00.985000,SHOREPOINTS MARKET-EWR AIRPORT (T1),"SHOREPOINTS MARKET-EWR AIRPORT (T1)
2353 US HIGHWAY 130 STE A
C/O WHSMITH - GXO DC",DAYTON,NJ,08810,US,SHOREPOINTS MARKET-EWR AIRPORT (T1)|DAYTON|NJ|08810|US,681123,hmorales,241.920000000,241.920000000
96563,1478579,74,Fulfilled,2025-10-09 14:23:18.437000,2025-10-13 00:00:00,2025-10-13 12:39:01.767000,UPTOWN KIOSK 2-PHX AP,"UPTOWN KIOSK 2-PHX AP
3400 E SKY HARBOR BLVD
SPACE # T4S1
Term 4, Lvl 3, Near Gate D11",Phoenix,AZ,85034,US,UPTOWN KIOSK 2-PHX AP|Phoenix|AZ|85034|US,681110,hmorales,241.920000000,241.920000000
